算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,交叉阵列尺寸,ADC档位,DAC档位,PE阵列规模,Tile连接方式,片间带宽,片内带宽,附加JSON
random,44,115,random,5301601.463010747,1084841.5460518848,884941383.1245514,36.10522648678249,,2.0403881072998047,0,512x512,7,1,2x2,3,20,512,{}
random,44,116,random,38861361.149618834,15160878.712540573,1624057426.674589,150.46973875759716,,3.283047914505005,0,256x256,7,1,8x8,0,20,1024,{}
random,44,117,random,32466697.694664862,11148534.397241248,1509865337.586589,35.008845925597164,,3.3206100463867188,0,256x256,8,4,8x8,3,80,1024,{}
random,44,118,random,42582823.76361034,16326480.400301907,1887954055.922589,248.95140435759717,,3.15368390083313,0,256x256,6,3,8x8,1,20,2048,{}
random,44,119,random,44001566.547357835,17253071.6397539,1887877903.090589,247.58197395759717,,3.4564998149871826,0,256x256,6,2,8x8,2,10,1024,{}
random,44,120,random,28741741.64260151,6853831.857660688,2081870975.5369163,75.36158742494106,,2.6630191802978516,0,512x512,4,2,8x8,0,40,2048,{}
random,44,121,random,17076454.685248125,5740412.947882585,1439827635.4036036,225.52706636034463,,2.8362739086151123,0,256x256,6,2,4x4,2,20,512,{}
random,44,122,random,4953014.043482394,2145356.7062805803,1390413095.8149137,221.58763127750822,,2.465730905532837,0,256x256,6,3,2x2,0,40,2048,{}
random,44,123,random,5101182.408373303,431721.2155879321,832873846.2285514,8.600673318782485,,1.9711170196533203,0,512x512,8,3,2x2,2,10,1024,{}
random,44,124,random,4216952.287900284,1679778.188230988,1200764760.9669135,133.09151927750816,,2.8442089557647705,0,256x256,7,2,2x2,3,40,1024,{}
random,44,125,random,4531876.593492567,2145356.7062805803,1214008615.8149135,221.58763127750822,,2.7018990516662598,0,256x256,4,3,2x2,3,40,512,{}
random,44,126,random,4142435.96789644,1359668.67730058,1200819495.8149135,134.33515127750815,,2.4559028148651123,0,256x256,7,3,2x2,3,40,1024,{}
random,44,127,random,32511939.654387955,11134068.811163003,1509636879.090589,30.900554725597164,,3.457082986831665,0,256x256,8,2,8x8,3,80,1024,{}
random,44,128,random,32607827.59629788,11143106.471518511,1509598802.674589,30.215839525597165,,3.509493112564087,0,256x256,8,1,8x8,3,80,2048,{}
random,44,129,random,12368329.367586903,2693906.9441276425,1152740818.1236033,26.90026133634462,,2.547386884689331,0,256x256,8,1,4x4,3,40,2048,{}
random,44,130,random,29353079.505638726,6494229.481494131,2081952567.856916,76.27499862494106,,2.576976776123047,0,512x512,4,3,8x8,3,20,512,{}
random,44,131,random,46042397.69815337,16342836.205076309,1888106361.586589,251.6902651575972,,2.86929988861084,0,256x256,6,4,8x8,3,10,2048,{}
random,44,132,random,3491290.5986109884,716152.2491661077,1118470257.5429137,23.657914509508167,,2.8481907844543457,1,256x256,8,1,2x2,1,80,512,{}
random,44,133,random,4406825.653216638,2911707.225850988,1213953880.9669135,220.3439992775082,,2.8683297634124756,0,256x256,4,2,2x2,1,80,512,{}
random,44,134,random,16762966.725561144,2856008.628690927,1077831188.22984,66.08759987120662,,2.084329128265381,0,512x512,4,4,4x4,3,40,2048,{}
random,44,135,random,18902285.84392022,2287825.113169227,1067588796.1658399,40.19475507120662,,2.202239990234375,0,512x512,7,3,4x4,3,10,1024,{}
random,44,136,random,4320375.066539432,2145356.7062805803,1390413095.8149137,221.58763127750822,,2.4934029579162598,0,256x256,6,3,2x2,1,80,1024,{}
random,44,137,random,5454506.264182469,1920521.5611562848,893297223.1245514,59.06970648678248,,1.89139986038208,0,512x512,4,1,2x2,2,20,1024,{}
random,44,138,random,12302551.927904595,1693418.1621167667,1004227772.16584,9.946910319206626,,2.041414260864258,0,512x512,8,3,4x4,2,40,2048,{}
random,44,139,random,29326739.317357473,6511346.114991731,2082115752.496916,78.10182102494106,,2.8380961418151855,0,512x512,4,4,8x8,1,10,1024,{}
random,44,140,random,38069700.87044523,13994336.11682139,1624171655.9225888,152.52388435759715,,2.6487228870391846,0,256x256,7,3,8x8,0,80,1024,{}
random,44,141,random,6538910.5735507645,713582.3728580761,884993398.2285513,37.23947128678249,,2.069000005722046,0,512x512,7,3,2x2,0,10,2048,{}
random,44,142,random,8080043.043482402,2145356.7062805803,1214008615.8149135,221.58763127750822,,2.7858259677886963,0,256x256,4,3,2x2,1,10,2048,{}
random,44,143,random,4514663.48298269,1050973.7837000762,1005177951.7005513,61.716277686782476,,2.039306879043579,0,512x512,6,4,2x2,2,80,512,{}
random,44,144,random,18183398.54494482,3173273.222977087,1213569040.13384,63.63041267120662,,2.084242105484009,0,512x512,6,2,4x4,1,10,2048,{}
random,44,145,random,3961036.76789634,1359668.67730058,1200819495.8149135,134.33515127750815,,2.7031188011169434,0,256x256,7,3,2x2,2,40,1024,{}
random,44,146,random,4823148.586937437,1329213.4080361456,1005073921.4925513,59.44778808678249,,1.8787360191345215,0,512x512,6,2,2x2,2,40,2048,{}
random,44,147,random,42682508.32107528,14381431.241073383,1624095503.090589,151.15445395759716,,3.38527512550354,0,256x256,7,2,8x8,3,10,1024,{}
random,44,148,random,3924408.4688831177,721046.8869365482,1118661829.5109136,28.010626509508167,,2.5029959678649902,0,256x256,8,4,2x2,2,20,1024,{}
